/projectnb/modselrl/venvs/mynewenv/lib/python3.10/site-packages/gymnasium/envs/registration.py:517: DeprecationWarning: [33mWARN: The environment HalfCheetah-v4 is out of date. You should consider upgrading to version `v5`.[0m
  logger.deprecation(
global_step=1000, episodic_return=[-415.66568798]
global_step=2001, episodic_return=[-381.96312591]
SPS: 707
global_step=3002, episodic_return=[-414.22798332]
global_step=4003, episodic_return=[-299.74165491]
SPS: 708
global_step=5004, episodic_return=[-389.41989814]
global_step=6005, episodic_return=[-374.78126461]
SPS: 708
global_step=7006, episodic_return=[-242.20408613]
global_step=8007, episodic_return=[-280.71312363]
SPS: 710
global_step=9008, episodic_return=[-272.5782622]
global_step=10009, episodic_return=[-361.15589616]
SPS: 710
global_step=11010, episodic_return=[-293.17047169]
global_step=12011, episodic_return=[-234.8054479]
SPS: 711
global_step=13012, episodic_return=[-359.12237758]
global_step=14013, episodic_return=[-325.65224244]
SPS: 710
global_step=15014, episodic_return=[-254.14255755]
global_step=16015, episodic_return=[-312.81259726]
SPS: 711
global_step=17016, episodic_return=[-291.36292233]
global_step=18017, episodic_return=[-264.47262666]
SPS: 711
global_step=19018, episodic_return=[-283.37206491]
global_step=20019, episodic_return=[-291.59188446]
SPS: 711
global_step=21020, episodic_return=[-276.24938297]
global_step=22021, episodic_return=[-358.38232092]
SPS: 711
global_step=23022, episodic_return=[-299.89385238]
global_step=24023, episodic_return=[-287.04012201]
SPS: 712
global_step=25024, episodic_return=[-245.99394978]
global_step=26025, episodic_return=[-265.47719265]
SPS: 712
global_step=27026, episodic_return=[-202.35314118]
global_step=28027, episodic_return=[-345.57615973]
SPS: 712
global_step=29028, episodic_return=[-240.51780208]
global_step=30029, episodic_return=[-288.8216309]
SPS: 712
global_step=31030, episodic_return=[-276.55851643]
global_step=32031, episodic_return=[-196.1815139]
SPS: 712
global_step=33032, episodic_return=[-181.72933123]
global_step=34033, episodic_return=[-213.88587141]
SPS: 712
global_step=35034, episodic_return=[-304.8694686]
global_step=36035, episodic_return=[-155.78905213]
SPS: 713
global_step=37036, episodic_return=[-208.69742222]
global_step=38037, episodic_return=[-230.17235822]
SPS: 713
global_step=39038, episodic_return=[-140.89597821]
global_step=40039, episodic_return=[-181.62308105]
SPS: 713
global_step=41040, episodic_return=[-155.82588095]
global_step=42041, episodic_return=[-156.86819778]
SPS: 713
global_step=43042, episodic_return=[-112.59971923]
global_step=44043, episodic_return=[-104.86396519]
global_step=45044, episodic_return=[-110.79080924]
SPS: 713
global_step=46045, episodic_return=[-46.75776891]
global_step=47046, episodic_return=[-153.37247749]
SPS: 713
global_step=48047, episodic_return=[-102.64791597]
global_step=49048, episodic_return=[-81.42917543]
SPS: 713
global_step=50049, episodic_return=[-31.52568333]
global_step=51050, episodic_return=[-21.09058402]
SPS: 713
global_step=52051, episodic_return=[53.62547503]
global_step=53052, episodic_return=[-69.38378933]
SPS: 713
global_step=54053, episodic_return=[25.70531595]
global_step=55054, episodic_return=[41.92077175]
SPS: 713
global_step=56055, episodic_return=[-5.82391407]
global_step=57056, episodic_return=[3.70514297]
SPS: 713
global_step=58057, episodic_return=[-37.64490732]
global_step=59058, episodic_return=[5.58185203]
SPS: 713
global_step=60059, episodic_return=[49.3026202]
global_step=61060, episodic_return=[177.30538095]
SPS: 713
global_step=62061, episodic_return=[121.75822188]
global_step=63062, episodic_return=[90.60251936]
SPS: 714
global_step=64063, episodic_return=[146.28102272]
global_step=65064, episodic_return=[200.01276761]
SPS: 714
global_step=66065, episodic_return=[129.80212007]
global_step=67066, episodic_return=[96.50676933]
SPS: 714
global_step=68067, episodic_return=[120.4732356]
global_step=69068, episodic_return=[116.47329542]
SPS: 715
global_step=70069, episodic_return=[158.06504175]
global_step=71070, episodic_return=[149.12239024]
SPS: 715
global_step=72071, episodic_return=[118.64473665]
global_step=73072, episodic_return=[173.59178783]
SPS: 715
global_step=74073, episodic_return=[199.09749749]
global_step=75074, episodic_return=[283.22013191]
SPS: 715
global_step=76075, episodic_return=[248.28257875]
global_step=77076, episodic_return=[164.38078021]
SPS: 716
global_step=78077, episodic_return=[318.34028082]
global_step=79078, episodic_return=[293.92124911]
SPS: 716
global_step=80079, episodic_return=[263.90011064]
global_step=81080, episodic_return=[273.26611316]
SPS: 716
global_step=82081, episodic_return=[394.78792656]
global_step=83082, episodic_return=[344.07869362]
SPS: 716
global_step=84083, episodic_return=[414.51820049]
global_step=85084, episodic_return=[353.52853863]
SPS: 716
global_step=86085, episodic_return=[352.57101919]
global_step=87086, episodic_return=[394.24493394]
SPS: 716
global_step=88087, episodic_return=[453.83273176]
global_step=89088, episodic_return=[306.78876617]
global_step=90089, episodic_return=[388.79487107]
SPS: 716
global_step=91090, episodic_return=[389.35873416]
global_step=92091, episodic_return=[390.65404911]
SPS: 716
global_step=93092, episodic_return=[525.67364325]
global_step=94093, episodic_return=[370.31409874]
SPS: 716
global_step=95094, episodic_return=[452.71421208]
global_step=96095, episodic_return=[490.96543049]
SPS: 716
global_step=97096, episodic_return=[442.31146361]
global_step=98097, episodic_return=[514.62950222]
SPS: 714
global_step=99098, episodic_return=[469.74807148]
global_step=100099, episodic_return=[571.34806999]
SPS: 714
global_step=101100, episodic_return=[471.5547506]
global_step=102101, episodic_return=[550.37485695]
SPS: 714
global_step=103102, episodic_return=[484.56423492]
global_step=104103, episodic_return=[535.86595591]
SPS: 714
global_step=105104, episodic_return=[551.74465675]
global_step=106105, episodic_return=[444.50059977]
SPS: 715
global_step=107106, episodic_return=[595.93982544]
global_step=108107, episodic_return=[526.90806582]
SPS: 715
global_step=109108, episodic_return=[-320.55003714]
global_step=110109, episodic_return=[531.49985779]
SPS: 712
global_step=111110, episodic_return=[506.64085593]
global_step=112111, episodic_return=[580.18661166]
SPS: 714
global_step=113112, episodic_return=[619.88568214]
global_step=114113, episodic_return=[561.09713885]
SPS: 714
global_step=115114, episodic_return=[678.16577098]
global_step=116115, episodic_return=[500.82008301]
SPS: 714
global_step=117116, episodic_return=[590.60148228]
global_step=118117, episodic_return=[620.59740094]
SPS: 714
global_step=119118, episodic_return=[583.70418966]
global_step=120119, episodic_return=[622.01594096]
SPS: 715
global_step=121120, episodic_return=[680.75282601]
global_step=122121, episodic_return=[621.31143168]
SPS: 715
global_step=123122, episodic_return=[608.86230566]
global_step=124123, episodic_return=[668.48882218]
SPS: 715
global_step=125124, episodic_return=[650.72359389]
global_step=126125, episodic_return=[565.8055857]
SPS: 715
global_step=127126, episodic_return=[619.72645942]
global_step=128127, episodic_return=[609.44632883]
SPS: 715
global_step=129128, episodic_return=[652.16282776]
global_step=130129, episodic_return=[724.1265175]
SPS: 715
global_step=131130, episodic_return=[666.35140578]
global_step=132131, episodic_return=[764.39633689]
SPS: 716
global_step=133132, episodic_return=[706.22644545]
global_step=134133, episodic_return=[761.92547919]
global_step=135134, episodic_return=[748.42399057]
SPS: 716
global_step=136135, episodic_return=[736.00128346]
global_step=137136, episodic_return=[695.38456231]
SPS: 716
global_step=138137, episodic_return=[754.09730028]
global_step=139138, episodic_return=[732.15035663]
SPS: 716
global_step=140139, episodic_return=[748.50786773]
global_step=141140, episodic_return=[691.71244933]
SPS: 716
global_step=142141, episodic_return=[828.43166971]
global_step=143142, episodic_return=[685.42355943]
SPS: 715
global_step=144143, episodic_return=[791.11051351]
global_step=145144, episodic_return=[763.65420537]
SPS: 715
global_step=146145, episodic_return=[759.57972503]
global_step=147146, episodic_return=[804.18797785]
SPS: 715
global_step=148147, episodic_return=[831.11001626]
global_step=149148, episodic_return=[743.68703438]
SPS: 715
global_step=150149, episodic_return=[820.60938249]
global_step=151150, episodic_return=[786.30949781]
SPS: 715
global_step=152151, episodic_return=[711.91384539]
global_step=153152, episodic_return=[749.73896607]
SPS: 715
global_step=154153, episodic_return=[803.91241144]
global_step=155154, episodic_return=[829.36649923]
SPS: 715
global_step=156155, episodic_return=[836.72710661]
global_step=157156, episodic_return=[834.79290667]
SPS: 715
global_step=158157, episodic_return=[830.85340415]
global_step=159158, episodic_return=[876.06115911]
SPS: 715
global_step=160159, episodic_return=[863.15685353]
global_step=161160, episodic_return=[863.9309874]
SPS: 715
global_step=162161, episodic_return=[878.64127909]
global_step=163162, episodic_return=[924.14774042]
SPS: 716
global_step=164163, episodic_return=[778.1823113]
global_step=165164, episodic_return=[877.5764498]
SPS: 716
global_step=166165, episodic_return=[874.27727531]
global_step=167166, episodic_return=[788.66173922]
SPS: 716
global_step=168167, episodic_return=[885.29856346]
global_step=169168, episodic_return=[917.70852203]
SPS: 716
global_step=170169, episodic_return=[942.80493321]
global_step=171170, episodic_return=[883.81069199]
SPS: 716
global_step=172171, episodic_return=[907.90208542]
global_step=173172, episodic_return=[904.68463622]
SPS: 717
global_step=174173, episodic_return=[903.61230377]
global_step=175174, episodic_return=[962.17974049]
SPS: 717
global_step=176175, episodic_return=[933.77299209]
global_step=177176, episodic_return=[939.09954399]
SPS: 717
global_step=178177, episodic_return=[945.08078265]
global_step=179178, episodic_return=[903.46609406]
global_step=180179, episodic_return=[955.51235881]
SPS: 717
global_step=181180, episodic_return=[989.99208652]
global_step=182181, episodic_return=[890.24001324]
SPS: 718
global_step=183182, episodic_return=[921.71189192]
global_step=184183, episodic_return=[1003.77126378]
SPS: 718
global_step=185184, episodic_return=[940.81146756]
global_step=186185, episodic_return=[1005.19579036]
SPS: 718
global_step=187186, episodic_return=[1006.76121986]
global_step=188187, episodic_return=[971.02660273]
SPS: 718
global_step=189188, episodic_return=[966.46150801]
global_step=190189, episodic_return=[963.08370316]
SPS: 718
global_step=191190, episodic_return=[1028.18527482]
global_step=192191, episodic_return=[1006.23250803]
SPS: 718
global_step=193192, episodic_return=[973.69095514]
global_step=194193, episodic_return=[962.74157396]
SPS: 718
global_step=195194, episodic_return=[1007.59196176]
global_step=196195, episodic_return=[1015.94872295]
SPS: 718
global_step=197196, episodic_return=[987.80475001]
global_step=198197, episodic_return=[1037.29077819]
SPS: 718
global_step=199198, episodic_return=[1026.16401169]
global_step=200199, episodic_return=[981.55531269]
SPS: 718
global_step=201200, episodic_return=[1000.00047007]
global_step=202201, episodic_return=[976.25456788]
SPS: 719
global_step=203202, episodic_return=[1077.86124134]
global_step=204203, episodic_return=[977.39558949]
SPS: 719
global_step=205204, episodic_return=[1038.98308177]
global_step=206205, episodic_return=[1060.24156334]
SPS: 719
global_step=207206, episodic_return=[1013.07147367]
global_step=208207, episodic_return=[1075.58961905]
SPS: 719
global_step=209208, episodic_return=[1087.59460844]
global_step=210209, episodic_return=[1001.56098538]
SPS: 718
global_step=211210, episodic_return=[1095.04854868]
